Traceback (most recent call last):
  File "unet_attn.py", line 19, in <module>
    data_set = FreqDataset(mode='IR',minmax=False)
epoch: 364 train_loss: 2.407163381576538 val_loss: 51.09170913696289, 
epoch: 365 train_loss: 2.393768072128296 val_loss: 50.871707916259766, 
epoch: 366 train_loss: 2.377295970916748 val_loss: 50.80704116821289, 
epoch: 367 train_loss: 2.3723392486572266 val_loss: 50.5956916809082, 
epoch: 368 train_loss: 2.3635523319244385 val_loss: 50.4666748046875, 
epoch: 369 train_loss: 2.3761916160583496 val_loss: 50.4284553527832, 
epoch: 370 train_loss: 2.36675763130188 val_loss: 50.32964324951172, 
epoch: 371 train_loss: 2.3634493350982666 val_loss: 50.261329650878906, 
epoch: 372 train_loss: 2.3609354496002197 val_loss: 50.31129837036133, 
epoch: 373 train_loss: 2.3800973892211914 val_loss: 50.24373245239258, 
epoch: 374 train_loss: 2.3691625595092773 val_loss: 50.40354919433594, 
epoch: 375 train_loss: 2.3654420375823975 val_loss: 50.160274505615234, save best model
epoch: 376 train_loss: 2.3685765266418457 val_loss: 50.233726501464844, 
epoch: 377 train_loss: 2.392025947570801 val_loss: 50.281517028808594, 
epoch: 378 train_loss: 2.384178400039673 val_loss: 50.27638244628906, 
epoch: 379 train_loss: 2.3968660831451416 val_loss: 50.38329315185547, 
epoch: 380 train_loss: 2.3899292945861816 val_loss: 50.38946533203125, 
epoch: 381 train_loss: 2.405088186264038 val_loss: 50.563297271728516, 
epoch: 382 train_loss: 2.389831781387329 val_loss: 50.58686828613281, 
epoch: 383 train_loss: 2.3884267807006836 val_loss: 50.7245979309082, 
epoch: 384 train_loss: 2.3941164016723633 val_loss: 50.81856155395508, 
epoch: 385 train_loss: 2.391840934753418 val_loss: 50.888492584228516, 
epoch: 386 train_loss: 2.396637439727783 val_loss: 50.97663116455078, 
epoch: 387 train_loss: 2.4129798412323 val_loss: 50.76209259033203, 
epoch: 388 train_loss: 2.4101202487945557 val_loss: 50.54458236694336, 
epoch: 389 train_loss: 2.4128260612487793 val_loss: 50.404598236083984, 
epoch: 390 train_loss: 2.422506332397461 val_loss: 50.4842414855957, 
epoch: 391 train_loss: 2.42572021484375 val_loss: 50.42741012573242, 
epoch: 392 train_loss: 2.4307005405426025 val_loss: 50.55771255493164, 
epoch: 393 train_loss: 2.4374618530273438 val_loss: 50.620361328125, 
epoch: 394 train_loss: 2.4451777935028076 val_loss: 50.56953811645508, 
epoch: 395 train_loss: 2.469611883163452 val_loss: 50.61319351196289, 
epoch: 396 train_loss: 2.479707956314087 val_loss: 50.589866638183594, 
epoch: 397 train_loss: 2.477078914642334 val_loss: 50.67987060546875, 
epoch: 398 train_loss: 2.4874463081359863 val_loss: 50.75717544555664, 
epoch: 399 train_loss: 2.4811947345733643 val_loss: 50.900001525878906, 
epoch: 400 train_loss: 2.4959046840667725 val_loss: 50.90434265136719, 
epoch: 401 train_loss: 2.429766893386841 val_loss: 50.373046875, 
epoch: 402 train_loss: 2.4031896591186523 val_loss: 50.347232818603516, 
epoch: 403 train_loss: 2.404794931411743 val_loss: 50.32680892944336, 
epoch: 404 train_loss: 2.4086132049560547 val_loss: 50.45787811279297, 
epoch: 405 train_loss: 2.4214587211608887 val_loss: 50.50831604003906, 
epoch: 406 train_loss: 2.416809558868408 val_loss: 50.61191940307617, 
epoch: 407 train_loss: 2.4152681827545166 val_loss: 50.718379974365234, 
epoch: 408 train_loss: 2.386766195297241 val_loss: 50.62180709838867, 
epoch: 409 train_loss: 2.389449119567871 val_loss: 50.847660064697266, 
epoch: 410 train_loss: 2.382678985595703 val_loss: 50.77824783325195, 
epoch: 411 train_loss: 2.3667800426483154 val_loss: 50.69805908203125, 
epoch: 412 train_loss: 2.3429670333862305 val_loss: 50.671607971191406, 
epoch: 413 train_loss: 2.3520658016204834 val_loss: 50.61078643798828, 
epoch: 414 train_loss: 2.3466508388519287 val_loss: 50.46686553955078, 
epoch: 415 train_loss: 2.3189427852630615 val_loss: 50.419403076171875, 
epoch: 416 train_loss: 2.3238279819488525 val_loss: 50.4122200012207, 
epoch: 417 train_loss: 2.3076469898223877 val_loss: 50.16889953613281, 
epoch: 418 train_loss: 2.3033504486083984 val_loss: 50.207611083984375, 
epoch: 419 train_loss: 2.3000454902648926 val_loss: 50.25135040283203, 
epoch: 420 train_loss: 2.3062493801116943 val_loss: 50.21807861328125, 
epoch: 421 train_loss: 2.289168357849121 val_loss: 50.196407318115234, 
epoch: 422 train_loss: 2.292119264602661 val_loss: 50.15238952636719, save best model
epoch: 423 train_loss: 2.3016273975372314 val_loss: 50.45420837402344, 
epoch: 424 train_loss: 2.3106870651245117 val_loss: 50.287635803222656, 
epoch: 425 train_loss: 2.3137118816375732 val_loss: 50.32868957519531, 
epoch: 426 train_loss: 2.3359503746032715 val_loss: 50.36179733276367, 
epoch: 427 train_loss: 2.330526113510132 val_loss: 50.6297607421875, 
epoch: 428 train_loss: 2.3389291763305664 val_loss: 50.62660598754883, 
epoch: 429 train_loss: 2.3480634689331055 val_loss: 51.00015640258789, 
epoch: 430 train_loss: 2.3465683460235596 val_loss: 50.91231155395508, 
epoch: 431 train_loss: 2.350335121154785 val_loss: 50.83375930786133, 
epoch: 432 train_loss: 2.3662803173065186 val_loss: 50.749794006347656, 
epoch: 433 train_loss: 2.3648576736450195 val_loss: 50.6519660949707, 
epoch: 434 train_loss: 2.3748037815093994 val_loss: 50.670467376708984, 
epoch: 435 train_loss: 2.3839597702026367 val_loss: 50.656150817871094, 
epoch: 436 train_loss: 2.4072227478027344 val_loss: 50.38555145263672, 
epoch: 437 train_loss: 2.3960726261138916 val_loss: 50.37882995605469, 
epoch: 438 train_loss: 2.3922221660614014 val_loss: 50.355735778808594, 
epoch: 439 train_loss: 2.394394874572754 val_loss: 50.22013473510742, 
epoch: 440 train_loss: 2.3734872341156006 val_loss: 50.2795295715332, 
epoch: 441 train_loss: 2.349881649017334 val_loss: 50.16781234741211, 
epoch: 442 train_loss: 2.339430093765259 val_loss: 50.27096939086914, 
epoch: 443 train_loss: 2.3235208988189697 val_loss: 50.25381851196289, 
epoch: 444 train_loss: 2.312551736831665 val_loss: 50.34257888793945, 
epoch: 445 train_loss: 2.325194835662842 val_loss: 50.52882766723633, 
epoch: 446 train_loss: 2.296769142150879 val_loss: 50.457950592041016, 
epoch: 447 train_loss: 2.2918386459350586 val_loss: 50.49407196044922, 
epoch: 448 train_loss: 2.2726316452026367 val_loss: 50.477989196777344, 
epoch: 449 train_loss: 2.2675554752349854 val_loss: 50.5310173034668, 
epoch: 450 train_loss: 2.253781318664551 val_loss: 50.564491271972656, 
epoch: 451 train_loss: 2.2463953495025635 val_loss: 50.48699951171875, 
epoch: 452 train_loss: 2.2486531734466553 val_loss: 50.3965950012207, 
epoch: 453 train_loss: 2.2466142177581787 val_loss: 50.31671905517578, 
epoch: 454 train_loss: 2.2570624351501465 val_loss: 50.397216796875, 
epoch: 455 train_loss: 2.2660365104675293 val_loss: 50.14506530761719, save best model
epoch: 456 train_loss: 2.265599250793457 val_loss: 50.16463088989258, 
epoch: 457 train_loss: 2.2508678436279297 val_loss: 50.24675750732422, 
epoch: 458 train_loss: 2.2451207637786865 val_loss: 50.12724304199219, save best model
epoch: 459 train_loss: 2.2520604133605957 val_loss: 50.15839385986328, 
epoch: 460 train_loss: 2.246975898742676 val_loss: 50.23765563964844, 
epoch: 461 train_loss: 2.2527928352355957 val_loss: 50.28408432006836, 
epoch: 462 train_loss: 2.2581822872161865 val_loss: 50.26219940185547, 
epoch: 463 train_loss: 2.262489080429077 val_loss: 50.381797790527344, 
epoch: 464 train_loss: 2.2441608905792236 val_loss: 50.50100326538086, 
epoch: 465 train_loss: 2.2523975372314453 val_loss: 50.443115234375, 
epoch: 466 train_loss: 2.2450296878814697 val_loss: 50.31495666503906, 
epoch: 467 train_loss: 2.2489397525787354 val_loss: 50.5197868347168, 
epoch: 468 train_loss: 2.246467351913452 val_loss: 50.43032455444336, 
epoch: 469 train_loss: 2.239985227584839 val_loss: 50.24968338012695, 
epoch: 470 train_loss: 2.2489280700683594 val_loss: 50.253108978271484, 
epoch: 471 train_loss: 2.2514772415161133 val_loss: 50.13536834716797, 
epoch: 472 train_loss: 2.2452166080474854 val_loss: 50.149593353271484, 
epoch: 473 train_loss: 2.236267328262329 val_loss: 50.0604248046875, save best model
epoch: 474 train_loss: 2.2365152835845947 val_loss: 50.101165771484375, 
epoch: 475 train_loss: 2.2400434017181396 val_loss: 50.125579833984375, 
epoch: 476 train_loss: 2.2424142360687256 val_loss: 50.091217041015625, 
epoch: 477 train_loss: 2.261942148208618 val_loss: 50.08676528930664, 
epoch: 478 train_loss: 2.2699027061462402 val_loss: 50.00266647338867, save best model
epoch: 479 train_loss: 2.2697982788085938 val_loss: 50.14712142944336, 
epoch: 480 train_loss: 2.29555344581604 val_loss: 50.14475631713867, 
epoch: 481 train_loss: 2.303048849105835 val_loss: 50.174591064453125, 
epoch: 482 train_loss: 2.3064959049224854 val_loss: 50.235023498535156, 
epoch: 483 train_loss: 2.299807548522949 val_loss: 50.24113845825195, 
epoch: 484 train_loss: 2.315549373626709 val_loss: 50.45694351196289, 
epoch: 485 train_loss: 2.297348737716675 val_loss: 50.67308044433594, 
epoch: 486 train_loss: 2.294036865234375 val_loss: 50.94795608520508, 
epoch: 487 train_loss: 2.27394700050354 val_loss: 50.88798141479492, 
epoch: 488 train_loss: 2.2774360179901123 val_loss: 50.85139465332031, 
epoch: 489 train_loss: 2.2624576091766357 val_loss: 50.69593811035156, 
epoch: 490 train_loss: 2.2518410682678223 val_loss: 50.47120666503906, 
epoch: 491 train_loss: 2.2359044551849365 val_loss: 50.4494743347168, 
epoch: 492 train_loss: 2.2292299270629883 val_loss: 50.400882720947266, 
epoch: 493 train_loss: 2.2094268798828125 val_loss: 50.42276382446289, 
epoch: 494 train_loss: 2.1949825286865234 val_loss: 50.355770111083984, 
epoch: 495 train_loss: 2.2034945487976074 val_loss: 50.34286880493164, 
epoch: 496 train_loss: 2.2043871879577637 val_loss: 50.31974792480469, 
epoch: 497 train_loss: 2.22487735748291 val_loss: 50.144195556640625, 
epoch: 498 train_loss: 2.2356443405151367 val_loss: 50.38938522338867, 
epoch: 499 train_loss: 2.25026535987854 val_loss: 50.382232666015625, 
test_loss:  51.8947
0.8186657473500882
